output	input
-197.23801585573284	-7.0
80.7049276878302	2.0
68.8905283817093	5.0
-121.33264119031475	-8.0
45.09296729600143	-3.0
65.8662676450902	-1.0
79.87490919851979	7.0
-65.99281730228657	0.0
137.5765111765723	4.0
9.491779070859273	1.0
-175.40200875793664	-9.0
-62.42671789106973	-5.0
213.10434966396622	6.0
221.43183655582118	9.0
-263.0584314203943	-10.0
-105.81338574577569	-2.0
151.14172106283155	3.0
101.19887194901652	8.0
-132.90114550083757	-6.0
-12.503460476852226	-4.0
